Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified,Year,Month,post_oct7
2025-08-28,OPT,PSE,Gaza Strip,31.2830204,34.2805069,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117258,2025-09-28,2025-10-06,2025,8,1
2025-08-28,OPT,PSE,Gaza Strip,31.2830204,34.2805069,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117259,2025-09-28,2025-10-06,2025,8,1
2025-08-28,OPT,PSE,Gaza Strip,31.4544395149,34.4118959709,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117488,2025-10-02,2025-10-03,2025,8,1
2025-08-28,OPT,PSE,Gaza Strip,31.5662502634,34.4826507568,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117489,2025-10-02,2025-10-03,2025,8,1
2025-08-28,OPT,PSE,Gaza Strip,31.4543663119,34.4114971688,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118869,2025-10-16,2025-10-16,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.3002615805,34.290726841,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",115845,2025-09-11,2025-09-20,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.3011416394,34.2866058282,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117004,2025-09-24,2025-09-25,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.2993081741,34.2848978478,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117086,2025-09-25,2025-09-29,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.5662502634,34.4826507568,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117487,2025-10-02,2025-10-03,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.4544395149,34.4118959709,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117525,2025-10-02,2025-10-03,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.4544395149,34.4118959709,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117526,2025-10-02,2025-10-03,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.5323114055,34.5001829413,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",117527,2025-10-02,2025-10-03,2025,8,1
2025-08-27,OPT,PSE,Gaza Strip,31.4525,34.3756,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,UXO,Food Production,Damage/Destruction Of Agricultural Land,117804,2025-10-05,2025-10-05,2025,8,1
